Ladder_ID,Expected_ladder_peaks
LIZ500,"35,50,75,100,139,150,160,200,250,300,340,350,400,450,490,500"
LIZ600,"20,40,60,80,100,114,120,140,160,180,200,214,220,240,250,260,280,300,314,320,340,360,380,400,414,420,440,460,480,500,514,520,540,560,580,600"
LIZ1200,"20,30,40,60,80,100,114,120,140,160,180,200,214,220,240,250,260,280,300,314,320,340,360,380,400,414,420,440,460,480,500,514,520,540,560,580,600,614,620,640,660,680,700,714,720,740,760,780,800,820,840,850,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1160,1200"
ROX350,"35,50,75,100,139,150,160,200,250,300,340,350"
ROX500,"35,50,75,100,139,150,160,200,250,300,340,350,400,450,490,500"
ROX1000,"47,51,55,82,85,93,99,126,136,262,293,317,439,557,692,695,946"
ROX400HD,"50,60,90,100,120,150,160,180,190,200,220,240,260,280,290,300,320,340,360,380,400"
TAMRA350,"35,50,75,100,139,150,160,200,250,300,340,350"
TAMRA500,"35,50,75,100,139,150,160,200,250,300,340,350,400,450,490,500"
